,text,topic
91,"Very American, very crass and very underwhelming.",movie
92,"The story is told in bland, episodic fashion with no sense of drama or threat.",movie
93,This ineffably wooden Chris Columbus adaptation of author Rick Riordan's best-seller for young teens has a screenplay that defies description.,movie
94,"It's fantastic fun, it knows its Greek mythology, and it's a very promising start to a franchise. More of the same, please.",movie
95,Remember the first time you saw Harry Potter on the big screen? This is more like the third time you saw him but with bigger effects and Greek mythology replacing the occult.,movie
96,The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues,movie
97,"A fun, effects-filled, escapist adventure, with several clever notions: Medusa sells garden statuary as a cover, and the Parthenon in Nashville is home to a hydra.",movie
98,"A safe, bland, test-marketed product made for tween mass consumption. Like most films arriving with ampersands and colons in the title, it's a bore.",movie
99,"It's all jolly good fun, rattling along at a perfect pace with enough action setpieces and spectacle to keep both youngsters and adults happy.",movie
100,What surprised me is that I had some affection for an action adventure film the way I would have in the days of the Ray Harryhausen's best films.,movie
101,"While this flick may not have Harry Potter's complex world and multiple layers, it also doesn't have the angst and darkness. It replaces them with one thing in bulk: Fun.",movie
102,... a sprightly Harry Potter clone and an eye-candy-coated intro to Greek mythology.,movie
103,click to read full review,movie
104,"Of all the would-be Potter projects that have hit the screen over the years, this is one of more polished and enjoyable ones.",movie
105,"A great family film, with just the right measures of action, mythological allusions, humor, and adventure.",movie
106,"Not a perfect film, but the movie does have a certain passion that a lot of other franchise attempts have lacked. If you like Greek mythology and are looking for an antidote to Clash of the Titans, this may be what you're looking for.",movie
107,Mildly diverting.,movie
108,"Just another mediocre fantasy flick, but if you enjoyed the books, I'm sure you'll enjoy the film.",movie
109,"An enjoyable PG-rated family adventure in its own right, but Columbus' film can't live up to the Potter gold standard, and it strays enough from Riordan's source material to make its tween readership blow a gasket every few minutes. [Blu-ray]",movie
110,Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.,movie
111,Manages to pay its respects to the Greek myths and actually convey them as fun.,movie
112,It kind of just builds up to a lot of Not Much.,movie
113,"Percy Jackson is simply uninspired in every single meaning of the word. It's probably the crassest, most obviously derivative work of this sort since Eragon.",movie
114,The premise of Percy Jackson & the Olympians: The Lightning Thief holds great potential potential the film never realizes.,movie
115,It provides a great adventure movie for the family audience.,movie
116,The plot uses the presence of the Greek gods as an indistinct outline to influence teenagers who are more interested in the prestige and glamor of their connection than the responsibility that comes with it.,movie
117,"As a former middle school teacher of gifted literature, I value all fairly well-made films for children and parents and this one is in that league.",movie
118,"OK, but only just.",movie
119,There's nothing resembling a spark in this film anywhere.,movie
120,"Holofcener always gives us more to chew on than originally meets the eye in her films and she writes female characters with an intelligence, sensitivity and realism that blows the Sex and the City foursome away any day of the week.",movie
121,"The tone is low-key but very funny. Yet, at the same time, the film also manages to have a sardonic edge.",movie
122,"Of a piece with Nicole Holofcener's three other films -- talky, urbane ensemble flicks that elicit quiet but deeply sincere smiles and laughs, and just as often showcase hushed moments of pinprick vulnerability.",movie
123,Solid ensemble work with an especially good Catherine Keener.,movie
124,"It's a tricky kind of social satire, its possibly cloying self-absorption cut only by some winningly awkward characters.",movie
125,"The fourth teaming of gifted indie filmmaker Holofcener and talented actress Keener is a timely, sharply observed, femme-driven serio-comedy about postmodern capitalistic lifestyles with all their joys, guilts, complexities and contradictions.",movie
126,"Ah, the guilt of the privileged.",movie
127,One of the best movies ever about guilt as the guardian of our goodness and a sign of our yearning to belong to the larger world.,movie
128,"[Holofcener] has real sympathy -- characters that might have been brittle, mockable creations in another writer-director's hands gain resonance here.",movie
129,"Such fine-tuned observation requires the ideal interpreter. Keener has always been Holofcener's muse, and once again offers the sort of fully crafted portrait that reminds us how shallow most movies really are.",movie
130,"With her new film, the poignant and funny Please Give, Holofcener is at the top of her game.",movie
131,"Listening to the banter in Please Give feels like eavesdropping on natural conversations, shaped and selected by a skilled storyteller.",movie
132,"With the romantic notion of the deceased 'haunting' their furniture..., the director at once adds some ethereal spirituality and an earthbound connection between people and their possessions.",movie
133,"Keener, Peet, and Hall are so strong, so empathetic even at their weakes",movie
134,Some people might find it distasteful to make a movie about guilty rich folks who give themselves permission to splurge. Others will rightly appreciate the honesty.,movie
135,"One of the best movies of the year so far. An insightful, darkly funny and multi-layered character study about class and family.",movie
136,"Few American filmmakers create female characters as realistically funny, attractively imperfect and flat-out annoying as does Ms. Holofcener.",movie
137,"Hardly a treasure, but it offers some modest rewards.",movie
138,Two possible ways of regarding Please Give: It's shallow. Or maybe it's deeply shallow.,movie
139,"Fleetingly amusing, charming and harmless with a terrific cast, but often meanders, lacks bite, and unevenly juggles comedy, drama and romance.",movie
140,Funny and heartbreaking.,movie
141,"Forget the dreaded ""Sex and the City 2."" Holofcener's wonderful new film about mammograms, marriage, infidelity, child-rearing and waiting for the old lady next door to die so you can buy her sprawling, pre-WWII apartment is the most sophisticated America",movie
142,"Please Give is a moral comedy that feels at times like one of the late Eric Rohmer's deceptively breezy miniatures, or a mid-period Woody Allen movie - the fussiness.",movie
143,"In its casual, disarming way, it's as deep and as grand a film as you'll find",movie
144,Holofcener explores the contemporary female experience with a camera that is at once empathetic and merciless.,movie
145,"The movie is about imperfect characters in a difficult world, who mostly do the best they can under the circumstances, but not always. Do you realize what a revolutionary approach that is for a movie these days?",movie
146,"It's a wonderful movie full of people you wish you knew in real life, and like most of Holofcener's movies, it's a remarkable combination of comedy and tragedy.",movie
147,"Please Give is a series of such set-piece scenes, a breezy, though not negligible, exploration of the contest between avarice and empathy.",movie
148,Only Rebecca Hall comes through with a genuineness that rises above Holofcener's doodlings.,movie
149,"Please Give proves that a film can be a spectacularly rewarding experience by just providing time spent with well-written, believable adult characters.",movie
150,It recognizes that a film about unpleasant people need not be unpleasant itself as long as it remembers not to make them uninteresting as well.,movie
151,"As she has in four previous films, Holofcener smartly relies on Keener's talent to create a layered character who is neurotic and often inappropriate, but still good at her core.",movie
152,"Far from challenging, the film consoles the complacent, saying basically that you can do whatever you want, so long as you feel (or pretend to feel) a little guilty about it.",movie
153,"Yet another ramble through the tiny world of the affluent and the idle, a particular fascination of Holofcener's. The only difference this time is the increased emphasis on morbidity.",movie
154,The combination of good-nature and light snark [make] Please Give maybe the strongest film of Holofcener's career.,movie
155,Some filmmakers make movies that hold up a mirror to nature. Nicole Holofcener makes seriocomedies that hold up a magnifying glass to human nature.,movie
156,The film's premise yields a story that's insightful and engaging while touching on many other matters of love and money.,movie
157,There's no movie around right now with a subject more pertinent. It'll hit you hard.,movie
158,Please Give is one of those movies that can be enjoyed simply for its funny portraits of human foibles and fumbling grasps at intimacy -- but it's also deceivingly profound.,movie
159,"It's a movie about guilt and family and what we mean when we say something is valuable, all of which are great subjects.",movie
160,A funny and pointed take of class anxieties from the Woody Allen school,movie
161,"There are laughs and moments of pain and many instances of embarrassing (and deeply human) behavior throughout, but there's also delicacy and grace...",movie
162,"Nicole Holofcener is frequently lauded for writing vivid female characters, but such praise doesn't really do justice to her full game.",movie
163,"Touching, intelligent and full of charm and wit.",movie
164,"Please Give is an almost perfectly rendered slice of life, buoyant with wonderful performances.",movie
165,"While the characters contend with their precarious self-images, we can't help but reflect on ourselves as well. To borrow a cautionary phrase about that mirror: 'Objects may appear closer than they are.'",movie
166,A tremendous leap forward for filmmaker Nicole Holofcener...,movie
167,"[The script is] sharp and witty, but never forced, and features some of the best pure dialogue you'll hear this year.",movie
168,"In Please Give, Keener is at her best. Let's hope her creative partnership with Holofcener continues.",movie
169,"While Please Give is a film about conscience, it's also slyly funny, with piercing moments of insight and warmth.",movie
170,"In a Holofcener film, the usual rules of screenwriting do not apply, which lends her work a lifelike quality that's particularly refreshing in this era of formulaic remakes and sequels.",movie
171,"Give thrives because of these professional efforts, which help to mold something strangely poignant and thrillingly neurotic out of a plot that should rightfully be nothing more than a cinematic air horn.",movie
172,"Happily, the joy outweighs the guilt.",movie
173,"Exploring class, generations and misbehaving bodies, Holofcener's dramedy refines its character studies with warmth and wit as she creates warts-and-all individuals whose flawed humanity we warm to.",movie
174,"An indie with real pedigree and smarts, Holofcener's comedy of manners is well-observered and well worth watching.",movie
175,"Maybe things get worse, but movies like this at least make it easier to handle.",movie
176,"There's the rare occasion where the boldness of the dialogue is laid on a little thick and it drags you out of the moment, but it doesn't happen often, and the odd excess is more than forgiveable given just how well the rest of the film works.",movie
177,"Trifles, trivialities, frippery and froth. We've got plenty of words to describe things that don't matter. And now, we also have a film. Please Give.",movie
178,"Beautifully played and sharply-written, the pleasures on offer here are apparently throwaway but the authenticity of the characters freights the story with a light-hearted realism.",movie
179,"Holofcener's biggest ally against nauseating self-pity is Keener, her screen alter ego.",movie
180,"Smart and touching, this is a must for lovers of human drama.",movie
181,"Enjoyable, emotionally engaging comedy-drama from writer-director Nicole Holofcener, featuring a sharply written script, likeable characters and terrific performances from a talented ensemble cast.",movie
182,"Funny yet emotional, tragic yet full of hope, this is the type of character-driven story theatergoers could use to see more of, and as like as Holofcener is around here's hope more is exactly what it is we are going to get.",movie
183,"Comes close to justifying the praise it has received -- close, but not entirely.",movie
184,"Nothing earth-shaking goes on here, and Holofcener has the good sense not to make her issues seem all that important. This is a lightweight comedy about mostly likable people who are a bit too wrapped up in self-analysis.",movie
185,Here's a sentence I've typed before: Rebecca Hall is the best thing about this movie. The British actress raises the level of every production she touches.,movie
186,Director/writer Nicole Holofcener goes back east for Please Give. It is an auspicious move.,movie
187,"Compare these wonderfully flawed, beautifully insecure and wholly believable characters with the preprogrammed mannequins seen in such chowderheaded efforts as, say, The Back-Up Plan or Killers, and the contrast is startling.",movie
188,Real joys and sorrows must be bigger and deeper than this.,movie
189,"It ends with this exchange: 'Thank You.' 'You're welcome.' How often do those simple words carry weight in a movie? At that moment, I loved those characters, and I loved this movie.",movie
190,an Upper East Side slice of navel gazing,movie
191,"Nicole Holofcener's lovely Please Give is a small, modest movie, full of the sort of characters we might know, or be.",movie
192,"If you're hoping for huge dramatic payoff or more than mild laughs from cynically satisfying script, then you're panhandling without a Styrofoam cup.",movie
193,This plot less movie lacks any momentum and you get no feeling of empathy or sympathy for any of the characters. The ensemble acting is sound with Guilbert standing out with a nostalgic trip down memory lane for viewers.,movie
194,Ms. Holofcener's observant talky comedy resonates with plenty of oomph as a believable modern-day fable about urban life.,movie
195,Nicole Holofcener creates open-ended characters whose ordinary lives are so fascinating that when the credits roll you're wondering why Transformers gets a sequel and not them.,movie
196,"In both Please Give and Friends with Money, she wrestles with our all-to-human desire for nice things but judiciously avoids ridiculing her characters for sharing a longing that is as universal as it is regrettable.",movie
197,"As Holofcener charts the telling little developments in these randomly connected lives the film offers wry smiles, smart repartee, mild whimsy and some plaintive, poignant moments.",movie
198,"A spiky, sophisticated, grown-up comedy...",movie
199,"Touching: that's what makes Holofcener's films so lovely. They are beady-eyed satires, sure, but they're also fundamentally kind-hearted.",movie
200,"This is a small film, which, if you're open to it, will draw you into the lives of people you quickly forget are fictional.",movie
201,"It sparks laughter by crossing the wires of human motivation, letting you see the hazards that exist in trying to be a good person.",movie
202,"Writer-director Holofcener cleverly keeps the emotions gurgling right under the surface of this engaging interpersonal comedy. It's more about smiles than laughing out loud, but the superior cast members get terrific characters to play with.",movie
203,"A well-written, well-acted dramatic comedy that is light on plot but generous in spirit.",movie
204,"It is well-observed but morally stunted, in that it suggests that charity is just another form of self-medication",movie
205,"Holofcener writes, and helps to shape on-screen, characters we often don't even like, and what do we do? We invite them home with us. Talk about a soft touch.",movie
206,A stroll with these characters is a refreshing break from from the usual film exercises.,movie
207,"Please Give is quintessential Holofcener -- a loopy, episodic ensemble story of women dealing with marriage, money and men, but it's also her smartest, most disciplined movie to date.",movie
208,"Keener, one of the most reliably entertaining actresses currently working, specializes in sardonic, flawed characters -- a perfect fit for Holofcener's image of the modern American woman.",movie
209,"Writer-director Nicole Holofcener seems to get better with every film, and now she's cruising along the well-trodden path of neurotic New Yorker comedy-drama with grace and comely confidence.",movie
210,"Keener has become Holofcener's artistic alter ego. In Please Give, the sharp-eyed filmmaker sends her vibrant representative out into the world to explore what it means for a woman to be lucky and still feel itchy.",movie
211,"Nicole Holofcener, who writes the most interesting female characters in the movies, delivers another dazzling role to her muse, Catherine Keener, in Please Give, a delightfully dry dramedy about guilt.",movie
212,"The acting quality is strong, especially from the ever-reliable Catherine Keener as Kate, but it's almost impossible to care about her character's dilemmas.",movie
213,"The film lives at that uneasy intersection between affluence and compassion, where the well-meaning well-to-do try to figure out how much of their wealth they need to give away to make a difference.",movie
214,"The film is more emotionally incisive than it initially appears to be, but equally it ties together a little too neatly when it already has such a concise running time.",movie
215,"Doesn't have much plot, just characters interacting and developing, and its lack of a need for drama is refreshing.",movie
216,"You have to be smart and funny and really aware of yourself to write and direct a film like this, which is exactly what director Nicole Holofcener is.",movie
217,"Funny at times, Please Give is a surprisingly heartwarming coming-of-age film for six adults all passing through different stages of heir life.",movie
218,"In writer/director Nicole Holofcener's crisp, poignant and funny new movie, Kipling's ""white man's burden"" has evolved into the liberal woman's guilt.",movie
219,"About the people who give, the people who don't give and how we finally manage to connect with one another.",movie
220,Obvious but entertaining portrayal of midlife crisis gone horribly awry.,movie
221,Highly over-rated Dudley Moore comedy.,movie
222,"And oh, the irony, that the film only deserves a '1.'",movie
223,It was a big hit. I have never understood why.,movie
224,"Sexist, juvenile, and pathetically structured, despite the gamest efforts of its actors and the blithe willingness of its famous non-actor.",movie
225,People tend to forget what a hilarious movie this really is,movie
226,"Blake Edwards's 10 is perhaps the first comedy about terminal yearning. Like all great comedies, it deals with emotions very close to our hearts.",movie
227,"This passable but not great Blake Edwards picture became known for the huge impact that the beautiful Bo Derek had on hairstyle; Bo's stardom was shortlived, though.",movie
228,"Dudley Moore is periodically funny, Julie Andrews is mostly charming, and Bo Derek is always gorgeous.",movie
229,"10's tossed-off quality keeps it from greatness, but it also distinguishes it from the great mass of contemporary comedies smoothed to a shiny, edgeless formula. [Blu-ray]",movie
230,"A fascinating character study, bittersweet and insightful yet full of tremendous laughs.",movie
231,It has some gags - some are even quite funny - but not nearly enough.,movie
232,"In a time of bloated when special effects have become the real stars, going back to a classic like this can remind viewers what movie making is supposed to be about -- acting.",movie
233,Completely deserved its high status of undisputed classic.,movie
234,"While the composition of juries might change over time, the issues and attitudes that are explored here are timeless, as is this classic film.",movie
235,"12 Angry Men ranks as the tautest courtroom drama you'll ever see, surpassing Lumet's very good 1982 drama, The Verdict.",movie
236,Pure dynamite in movie form.,movie
237,"This is a film where tension comes from personality conflict, dialogue and body language, not action.",movie
238,Sidney Lumet's debut feels a bit stagy but is never short on tension.,movie
239,"An intense concentration of power, and my all-time favourite film.",movie
240,"Although it may sound ungallant, these 12 Angry Men, are all right without distaff glamour. Their dramas are powerful and provocative enough to keep a viewer spellbound.",movie
241,One-room dramas don't get much better than this,movie
242,"Ainda que se passe em um nico ambiente, esta obra-prima possui um alcance emocional imensurvel - e  incrvel que tenha sido o primeiro longa-metragem de Lumet.",movie
243,This film is a great combination of an adult theme and the treatment suitable for younger audience.,movie
244,A masterful work of debate and dialogue; of shifting momentum and the ideal of sticking to your scruples in the face of antagonistic groupthink.,movie
245,"Sidney Lumet's Oscar-nominated feature directing debut is a brilliant courtroom drama, featuring a superlative cast that includes Henry Fonda (also producer), Martin Balsam, Ed Begley, Jack Warden, and E.G. Marshall.",movie
246,"Makes no self-saluting motions to greater importance, which gives the material the much-desired breathing room it needs to reach full potency.",movie
247,Power house jury room drama w/cast of memorable actors.,movie
248,Every bit the classic it's been made out to be for all these years.,movie
249,"taut, well-crafted sociological study",movie
250,"12 Angry Men has some shrewd observations to sell about argumentation and group behavior, but they're not the ones of which the film seems most proud.",movie
251,A brilliant courtroom drama whose strength lies within the power of Rose's words and Sidney Lumet's great direction (his debut).,movie
252,Outstanding Henry Fonda jury classic.,movie
253,"Lumet keeps things tense, sweaty, suspenseful and entertaining despite the contrived story line.",movie
254,an incisive and gripping film,movie
255,"This was Sidney Lumet's first movie and it's as riveting as it was back in the late 50s, when everything was changing.",movie
256,"The film takes a confined, almost completely banal real-world location and makes it completely dynamic, using incredibly nimble camera movements to establish character motivation and theme.",movie
257,"Too few films take on the art of arguing as a subject; we could certainly use more of them, but until then, Lumet's window into strained civic duty will continue to serve mightily.",movie
258,"There is real value is how it allows each member of the cultural mosaic of a jury to develop into distinct, damaged, and interesting characters",movie
259,...the film has aged surprisingly well in the years since its 1957 release.,movie
260,"In the 60 years since its release, Sidney Lumet's masterpiece has lost none of its impact. In this age of unreason, 12 Angry Men remains sorely and urgently contemporary.",movie
261,This movie is a masterpiece. That term gets thrown around a lot -- it's a very easy thing to say about great films like this -- but this movie is one of the best. This is one of the very few films that I will call perfect.,movie
262,"""12 Angry Men"" puts the full range of human good and evil on display. It posits that, ultimately, the universe is benevolent, and our job, regarding each other, is to attempt with our best effort and greatest compassion to elucidate and clarify the truth.",movie
263,"Thought-provoking, continually riveting, and absolutely unforgettable - and surprisingly designed around a very simple, tightly budgeted, special-effects-free premise.",movie
264,Reginald Rose's script is one of deep revelation.,movie
265,[The] embodiment of Disney at his best -- family entertainment that superbly uses brand-new wonders of film technology.,movie
266,One of Disney's finest live-action family-flick adventures.,movie
267,better than the ride at Disney!,movie
268,"Squid battle aside, though, 20,000 Leagues doesn't give us much more pioneering footage, and that doesn't take place until the very end. The rest of the film -- in retrospect -- is just waiting for the finale.",movie
269,...a vision of beauty and excitement for the eye and ear. It's still fun to watch after all these years.,movie
270,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea.",movie
271,"This is one of Disney's best, and one of the all-time adventure greats. And that, I swear by my tattoo.",movie
272,"A breathtaking piece of entertainment, 20,000 Leagues Under the Sea is amongst the finest live-action films to come out of Disney Studios.",movie
273,"James Mason's portrayal of Captain Nemo is a hard-edged, dramatic performance, with no winking nods or cartoonish layers. You could transport Mason whole into a much darker movie with R-rated violence, and he would fit like a glove.",movie
274,A classic action-adventure for older kids.,movie
275,Bring on the David Fincher-helmed remake.,movie
276,A good one that could have been better with a little less Kirk Douglas and more scientific things to gawk at in wonder.,movie
277,A tedious bore in which grubby people stand around muttering in a variety of badly chosen accents.,movie
